class,framework,seed,f1
Corn_(maize)__healthy,two_stage,123,0.9942196531791908
Corn_(maize)__healthy,two_stage,492,0.9971181556195964
Corn_(maize)__healthy,attention,0,0.9946435929130614
Corn_(maize)__healthy,attention,1,0.9975369458128078
Corn_(maize)__healthy,attention,42,0.995049504950495
Corn_(maize)__healthy,attention,123,0.9975389663658736
Corn_(maize)__healthy,attention,492,0.9971252566735112
Corn_(maize)__healthy,gating,0,0.9908940397350994
Corn_(maize)__healthy,gating,1,0.9954713874022232
Corn_(maize)__healthy,gating,42,0.9938042131350682
Corn_(maize)__healthy,gating,123,0.9950454170107348
Corn_(maize)__healthy,gating,492,0.9946435929130614
Corn_(maize)__healthy,ffs,0,0.9599325179249262
Corn_(maize)__healthy,ffs,1,0.9602344077019672
Corn_(maize)__healthy,ffs,42,0.9612338474364318
Corn_(maize)__healthy,ffs,123,0.960337552742616
Corn_(maize)__healthy,ffs,492,0.9619087484303056
Corn_(maize)__healthy,ffc,0,0.9643007139857204
Corn_(maize)__healthy,ffc,1,0.955937893411666
Corn_(maize)__healthy,ffc,42,0.9681742043551088
Corn_(maize)__healthy,ffc,123,0.95578231292517
Corn_(maize)__healthy,ffc,492,0.9545071609098568
Corn_(maize)__healthy,film,0,0.9643449419568824
Corn_(maize)__healthy,film,1,0.9507221750212403
Corn_(maize)__healthy,film,42,0.9612015018773468
Corn_(maize)__healthy,film,123,0.9611366485582952
Corn_(maize)__healthy,film,492,0.9630872483221476
Grape__Black_rot,one_stage,0,0.99438202247191
Grape__Black_rot,one_stage,1,0.9915014164305948
Grape__Black_rot,one_stage,42,0.9709302325581396
Grape__Black_rot,one_stage,123,0.9914529914529916
Grape__Black_rot,one_stage,492,0.9885714285714284
Grape__Black_rot,two_stage,0,0.9886363636363636
Grape__Black_rot,two_stage,1,0.9943502824858758
Grape__Black_rot,two_stage,42,0.9858356940509916
Grape__Black_rot,two_stage,123,0.9829545454545454
Grape__Black_rot,two_stage,492,0.9915014164305948
Grape__Black_rot,attention,0,0.9944341372912802
Grape__Black_rot,attention,1,0.9981447124304268
Grape__Black_rot,attention,42,0.992619926199262
Grape__Black_rot,attention,123,0.9981447124304268
Grape__Black_rot,attention,492,0.9925650557620818
Grape__Black_rot,gating,0,0.9832402234636872
Grape__Black_rot,gating,1,0.994413407821229
Grape__Black_rot,gating,42,0.9831144465290806
Grape__Black_rot,gating,123,0.9870609981515712
Grape__Black_rot,gating,492,0.9849624060150376
Grape__Black_rot,ffs,0,0.9581056466302368
Grape__Black_rot,ffs,1,0.9147826086956522
Grape__Black_rot,ffs,42,0.9574861367837338
Grape__Black_rot,ffs,123,0.9273356401384084
Grape__Black_rot,ffs,492,0.9481216457960644
Grape__Black_rot,ffc,0,0.9515260323159784
Grape__Black_rot,ffc,1,0.9285714285714286
Grape__Black_rot,ffc,42,0.9547920433996384
Grape__Black_rot,ffc,123,0.9340463458110516
Grape__Black_rot,ffc,492,0.9330985915492958
Grape__Black_rot,film,0,0.9263157894736842
Grape__Black_rot,film,1,0.9380530973451328
Grape__Black_rot,film,42,0.9447415329768272
Grape__Black_rot,film,123,0.9298245614035088
Grape__Black_rot,film,492,0.9430604982206404
Grape__Esca_(Black_Measles),one_stage,0,0.9975786924939468
Grape__Esca_(Black_Measles),one_stage,1,0.9927360774818402
Grape__Esca_(Black_Measles),one_stage,42,0.9761904761904762
Grape__Esca_(Black_Measles),one_stage,123,0.9927710843373494
